Id,Label,timeset,Size,Description,cat,size (s/m/l),start,end,weight,Data Source,Data Dictionary,Pub1,Pub2,Pub3
10,CBP,,3,"A national database of annual statistics for businesses with paid employees within the U.S. and U.S. terriroties, taken from the Business Register. Data includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll.",Jobs,L,1986,2017,3,https://www.census.gov/programs-surveys/cbp/data/datasets.html; ,https://www2.census.gov/programs-surveys/cbp/technical-documentation/records-layouts/2017_record_layouts/county_layout_2017.txt,"Pierce, J. R., & Schott, P. K. (2020). Trade Liberalization and Mortality: Evidence from US Counties. American Economic Review: Insights, 2(1), 47–64. https://doi.org/10.1257/aeri.20180396","Bondurant, S. R., Lindo, J. M., & Swensen, I. D. (2018). Substance abuse treatment centers and local crime. Journal of Urban Economics, 104, 124–133. https://doi.org/10.1016/j.jue.2018.01.007","Dave, D., Deza, M., & Horn, B. P. (2018). Prescription Drug Monitoring Programs, Opioid Abuse, and Crime. https://doi.org/10.3386/w24975"
11,ACS,,3,"A monthly national survey sent to a sample of people across the U.S. that asks questions about education, employment, internet access, transportation, etc.",Jobs,L,2005,2018,3,https://www.census.gov/programs-surveys/acs/data.html;,https://www2.census.gov/programs-surveys/acs/summary_file/2018/data/README_2018_FTP_Archives.pdf,"Rietveld, C. A., & Patel, P. C. (2020). Prescription opioids and new business establishments. Small Business Economics. https://doi.org/10.1007/s11187-020-00343-x","Kaestner, R., & Ziedan, E. (2019). Mortality and Socioeconomic Consequences of Prescription Opioids: Evidence from State Policies. https://doi.org/10.3386/w26135","Gihleb, R., Giuntella, O., & Zhang, N. (2019). Prescription Drug Monitoring Programs and Neonatal Outcomes. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3495773"
12,Open Payments,,3,"A national disclosure program provides detailed information on financial relationships including consulting fees, research grants, travel reimbursements, ownership, and other direct payments from manufacturers to medical practitioners (physicians and teaching hospitals).",Pharma,L,2013,2019,3,https://www.cms.gov/OpenPayments;,https://www.cms.gov/OpenPayments/Downloads/OpenPaymentsDataDictionary.pdf,"Li, W., & Zhu, Q. (2019). The Opioid Epidemic and Local Public Financing: Evidence from Municipal Bonds. https://doi.org/10.2139/ssrn.3454026","Nguyen, T. D., Bradford, W. D., & Simon, K. I. (2019). How do Opioid Prescribing Restrictions Affect Pharmaceutical Promotion? Lessons from the Mandatory Access Prescription Drug Monitoring Programs. https://doi.org/10.3386/w26356",
13,MEDICAID,,3,"A national dataset reported by states for covered outpatient drugs that are paid for by state Medicaid agencies since the start of the Medicaid Drug Rebate Program. The data includes state, drug name, National Drug Code, number of prescriptions, and dollars reimbursed.",Pharma,L,1991,2019,3,https://data.medicaid.gov/State-Drug-Utilization/State-Drug-Utilization-Data-1991/cnf4-jwwr,,"Abouk, R., Pacula, R. L., & Powell, D. (2019). Association between State Laws Facilitating Pharmacy Distribution of Naloxone and Risk of Fatal Overdose. JAMA Internal Medicine, 179(6), 805–811. https://doi.org/10.1001/jamainternmed.2019.0272",,
14,Medicare,,2,"A national database of all transactions covered by the Medicare prescription drug plan for both Prescription Drug Plans (PDPs) and Medicare Advantage Prescription Drug Plans (MA-PDs). Variables include service date, produce service ID, quantity dispensed, days supply, cost, payment, and linkage variables.",Pharma,M,2006,2017,2,https://data.medicare.gov/;,,"Rhodes, J. (n.d.). Private Health Insurer Incentives and Prescription Opioid Use:  Evidence from Medicare Part D. https://drive.google.com/file/d/1CWeTYQbib7QluDoRwSGoQg5E9gl_vGGe/view","Harris, M. C., Kessler, L. M., Murray, M. N., & Glenn, B. (2019). Prescription Opioids and Labor Market Pains: The Effect of Schedule II Opioids on Labor Force Participation and Unemployment. Journal of Human Resources, 1017. https://doi.org/10.3368/jhr.55.4.1017-9093R2","Beheshti, D. (2019). The Impact of Opioids on the Labor Market: Evidence from Drug Rescheduling. Retrieved from https://drive.google.com/file/d/1D0XdzcRRZuG3c7WoouaoiOw2q_IH4Rcr/view?usp=embed_facebook"
15,ARCOS,,2,"An automated, comprehaensive drug reporting system which monitors the flow of DEA controlled substances from their point of manufacture through commercial distribution channels to point of sale or distribution of the dispensing/retail level.",Pharma,M,2006,2019,2,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/,https://www.deadiversion.usdoj.gov/arcos/index.html#background,"US Department of Justice, Drug Enforcement Administration, Division of Diversion Control. 2019. ARCOS retail drug summary report. Available at https://www. deadiversion.usdoj.gov/ arcos/ retail_drug_summary/index.html (accessed on 6 October 2019)","Buchmueller, T. C., Carey, C. M., & Meille, G. (2019). How Well Do Doctors Know Their Patients? Evidence from a Mandatory Access Prescription Drug Monitoring Program. https://doi.org/10.3386/w26159","D’Lima, W., & Thibodeau, M. (2019). Health Crisis and Housing Market Effects - Evidence from the U.S. Opioid Epidemic. SSRN, (ID 3456404). Retrieved from https://papers.ssrn.com/abstract=3456404"
16,CDC Prescription,,1,"The source for all prescribing data comes from IQVIA Xponent, which is based on a sample of approximately 49,900 retail (non-hospital) pharmacies, which dispense nearly 92% of all retail prescriptions in the U.S. This database does not include mail order prescriptions.",Pharma,S,2006,2018,1,https://wonder.cdc.gov/,https://wonder.cdc.gov/wonder/help/ucd.html#,"Aliprantis, D., Fee, K., & Schweitzer, M. (2019). Opioids and the Labor Market. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3179068",CouncilEconAdvisors. (2019). The Role of Opioid Prices in the Evolving Opioid Crisis. Retrieved from https://www.whitehouse.gov/wp-content/uploads/2019/04/The-Role-of-Opioid-Prices-in-the-Evolving-Opioid-Crisis.pdf,"Metcalf, G. E., & Wang, Q. (2019). Abandoned by Coal, Swallowed by Opioids? National Bureau of Economic Research Working Paper Series, (26551). https://doi.org/10.3386/w26551"
17,NAMSDL,,1,"NAMSDL, originally President's Commission on Model State Drug Laws, was established to create model codes of laws to help states effectively address alcohol and other drug abuse. Topics include prevention and intervention, treatment, recovery support, overdose abatement, criminal justice, alcohol, and PDMPs.",Policy,S,1993,2019,1,https://namsdl.org/,,"Mallatt, J. (2019). Unintended Consequences of Prescription Monitoring: Policy-Induced Substitution to Illicit Drugs. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3418615","Horwitz, J., Davis, C. S., McClelland, L. S., Fordon, R. S., & Meara, E. (2018). The Problem of Data Quality in Analyses of Opioid Regulation: The Case of Prescription Drug Monitoring Programs. https://doi.org/10.3386/w24947","Meinhofer, A. (2018). Prescription Drug Monitoring Programs: The Role of Asymmetric Information on Drug Availability and Abuse. American Journal of Health Economics, 4(4), 504–526."
18,PDAPS,,1,"A national database that tracks key state laws related to prescription drug abuse. Topic areas include criminal justice, expanded access to naloxone, good samaritan 911 immunity, medical marijuana, opioid related controls, and PDMP.",Policy,S,2001,2017,1,http://pdaps.org/,,"Chan, N. W., Burkhardt, J., & Flyr, M. (2020). The Effects of Recreational Marijuana Legalization and Dispensing on Opioid Mortality. Economic Inquiry, 58(2), 589–606. https://doi.org/10.1111/ecin.12819","Kravitz-Wirtz, N., Davis, C. S., Ponicki, W. R., Rivera-Aguirre, A., Marshall, B. D. L., Martins, S. S., & Cerdá, M. (2020). Association of Medicaid Expansion With Opioid Overdose Mortality in the United States. JAMA Network Open, 3(1), e1919066. https://doi.org/10.1001/jamanetworkopen.2019.19066","Abouk, R., Helmchen, L. A., Moghtaderi, A., & Pines, J. (2019). The ACA Medicaid Expansions and Opioid Mortality: Is There a Link? Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3368434"
19,PDMP,,1,"An electronic database that tracks controlled substance prescriptions in a state in real time. Not every state has a PDMP and what information practitioners and pharmacists are required to include differ by state. The Kentucky All Schedule Prescription Electronic Reporting system, or KASPER, represents one standard of these data systems.",Pharma,S,2007,2020,1,https://www.cdc.gov/drugoverdose/pdmp/states.html,,"Ziedan, E., & Kaestner, R. (2020). Effect of Prescription Opioids and Prescription Opioid Control Policies on Infant Health. National Bureau of Economic Research Working Paper Series, (26749). https://doi.org/10.3386/w26749","Wang, L. X. (2020). The Complementarity of Drug Monitoring Programs and Health IT for Reducing Opioid-Related Mortality and Morbidity. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3176809","Brown, E., & Wehby, G. L. (2019). Economic Conditions and Drug and Opioid Overdose Deaths. Medical Care Research and Review: MCRR, 76(4), 462–477. https://doi.org/10.1177/1077558717722592"
